"url","Single Review 1","Single Review 3","_url_input"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","17.03.2020","Step Down regulator napona i struje XL4015 5A","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","12.03.2020","WH148 Linearni Potenciometar B10K","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","12.03.2020","5mm IR LED Receiver i Emitter 940nm","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","28.02.2020","TP4056A 1A modul za punjenje litijumske baterije","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","23.02.2020","Arduino NANO V3.0","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","31.01.2020","Arduino NANO V3.0","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","24.01.2020","Samsung Galaxy J5","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","15.01.2020","Led dioda 3 i 5 mm","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","09.01.2020","Acrylni Box za Termometar W1209","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","09.01.2020","Diode 1N4001 DO-41 5kom","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","06.01.2020","Arduino NANO V3.0","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","31.12.2019","LED reflektor 20W 12V IP66","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","27.12.2019","Arduino 5VDCx1 kanalni relejni modul","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","26.12.2019","TP4056A 1A modul za punjenje litijumske baterije","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","10.11.2019","Regulator i stabilizator napona 3A-Step Down LM2596S","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","06.11.2019","ORIGINAL HP punjac 19.5 V 4.62A 90W","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
"https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1","20.10.2019","Termometar bimetalni (indikator temperature) za bojler dužin","https://www.kupujemprodajem.com/review.php?action=list&return_url=cmV2aWV3LnBocD9hY3Rpb249bGlzdCZkYXRhJTVCdXNlcl9pZCU1RD0zNDQ0NDkmZGF0YSU1QnVzZXJfdHlwZSU1RD1hbGwmZGF0YSU1QmFkX2tpbmQlNUQ9YWxsJmRhdGElNUJyYXRlJTVEPXBvc2l0aXZlJmRhdGElNUJwYWdlJTVEPTI%3D&data%5Buser_id%5D=344449&data%5Buser_type%5D=all&data%5Bad_kind%5D=all&data%5Brate%5D=positive&data%5Bpage%5D=1"
